2025-11-05 14:52:43,827 |     INFO | logger_config.py:40 | ✅ Logging system initialized.
2025-11-05 14:52:43,880 |     INFO | main.py:40 | Found tesseract executable at: C:\Program Files\Tesseract-OCR\tesseract.EXE
2025-11-05 14:52:43,881 |     INFO | main.py:141 | IDIS OCR System Starting...
2025-11-05 14:52:43,881 |     INFO | main.py:142 | Choose Mode:
2025-11-05 14:52:43,882 |     INFO | main.py:143 | 1️⃣ - Batch Image OCR (from data/input_images)
2025-11-05 14:52:43,882 |     INFO | main.py:144 | 2️⃣ - Real-Time OCR via Webcam
2025-11-05 14:52:47,051 |     INFO | main.py:155 | Starting batch OCR processing...
2025-11-05 14:52:50,622 |     INFO | main.py:61 | Initialized EasyOCR reader
2025-11-05 14:52:50,624 |     INFO | main.py:75 | 🔍 Processing: handwritten_02.jpg (category: handwritten_notes)
2025-11-05 14:52:51,000 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:52:51,325 |     INFO | text_extraction.py:70 | Tesseract extraction successful
2025-11-05 14:52:51,342 |     INFO | main.py:83 | 📄 Extracted Fields for handwritten_02.jpg: {}
2025-11-05 14:52:51,342 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:52:51,343 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:52:51,343 |     INFO | main.py:99 | 📑 Document Type: Document
2025-11-05 14:52:51,343 |     INFO | main.py:111 | ✅ Extraction successful for handwritten_02.jpg (category: handwritten_notes)
2025-11-05 14:52:51,344 |     INFO | main.py:75 | 🔍 Processing: handwritten_03.jpg (category: handwritten_notes)
2025-11-05 14:52:51,704 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:52:51,998 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:52:51,998 |     INFO | main.py:83 | 📄 Extracted Fields for handwritten_03.jpg: {}
2025-11-05 14:52:51,999 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:52:51,999 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:52:51,999 |     INFO | main.py:99 | 📑 Document Type: Document
2025-11-05 14:52:52,000 |     INFO | main.py:111 | ✅ Extraction successful for handwritten_03.jpg (category: handwritten_notes)
2025-11-05 14:52:52,000 |     INFO | main.py:75 | 🔍 Processing: handwritten_05.jpg (category: handwritten_notes)
2025-11-05 14:52:52,310 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:52:52,583 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:52:52,584 |     INFO | main.py:83 | 📄 Extracted Fields for handwritten_05.jpg: {}
2025-11-05 14:52:52,584 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:52:52,585 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:52:52,585 |     INFO | main.py:99 | 📑 Document Type: Document
2025-11-05 14:52:52,586 |     INFO | main.py:111 | ✅ Extraction successful for handwritten_05.jpg (category: handwritten_notes)
2025-11-05 14:52:52,586 |     INFO | main.py:75 | 🔍 Processing: College_I_card.jpg (category: id_cards_documents)
2025-11-05 14:52:58,577 |     INFO | text_extraction.py:58 | EasyOCR extraction successful
2025-11-05 14:52:59,147 |     INFO | text_extraction.py:70 | Tesseract extraction successful
2025-11-05 14:52:59,184 |     INFO | main.py:83 | 📄 Extracted Fields for College_I_card.jpg: {'organization': 'BARKHA JHA'}
