2025-11-05 14:42:15,622 |     INFO | logger_config.py:40 | ✅ Logging system initialized.
2025-11-05 14:42:15,697 |     INFO | main.py:40 | Found tesseract executable at: C:\Program Files\Tesseract-OCR\tesseract.EXE
2025-11-05 14:42:15,698 |     INFO | main.py:141 | IDIS OCR System Starting...
2025-11-05 14:42:15,698 |     INFO | main.py:142 | Choose Mode:
2025-11-05 14:42:15,699 |     INFO | main.py:143 | 1️⃣ - Batch Image OCR (from data/input_images)
2025-11-05 14:42:15,699 |     INFO | main.py:144 | 2️⃣ - Real-Time OCR via Webcam
2025-11-05 14:42:24,614 |     INFO | main.py:155 | Starting batch OCR processing...
2025-11-05 14:42:28,590 |     INFO | main.py:61 | Initialized EasyOCR reader
2025-11-05 14:42:28,593 |     INFO | main.py:75 | 🔍 Processing: handwritten_02.jpg (category: handwritten_notes)
2025-11-05 14:42:29,052 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:42:29,446 |     INFO | text_extraction.py:70 | Tesseract extraction successful
2025-11-05 14:42:29,461 |     INFO | main.py:83 | 📄 Extracted Fields for handwritten_02.jpg: {}
2025-11-05 14:42:29,462 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:42:29,462 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:42:29,463 |     INFO | main.py:99 | 📑 Document Type: Document
2025-11-05 14:42:29,463 |     INFO | main.py:111 | ✅ Extraction successful for handwritten_02.jpg (category: handwritten_notes)
2025-11-05 14:42:29,464 |     INFO | main.py:75 | 🔍 Processing: handwritten_03.jpg (category: handwritten_notes)
2025-11-05 14:42:29,774 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:42:30,091 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:42:30,092 |     INFO | main.py:83 | 📄 Extracted Fields for handwritten_03.jpg: {}
2025-11-05 14:42:30,093 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:42:30,093 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:42:30,094 |     INFO | main.py:99 | 📑 Document Type: Document
2025-11-05 14:42:30,094 |     INFO | main.py:111 | ✅ Extraction successful for handwritten_03.jpg (category: handwritten_notes)
2025-11-05 14:42:30,094 |     INFO | main.py:75 | 🔍 Processing: handwritten_05.jpg (category: handwritten_notes)
2025-11-05 14:42:30,462 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:42:30,784 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:42:30,785 |     INFO | main.py:83 | 📄 Extracted Fields for handwritten_05.jpg: {}
2025-11-05 14:42:30,786 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:42:30,786 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:42:30,786 |     INFO | main.py:99 | 📑 Document Type: Document
2025-11-05 14:42:30,787 |     INFO | main.py:111 | ✅ Extraction successful for handwritten_05.jpg (category: handwritten_notes)
2025-11-05 14:42:30,788 |     INFO | main.py:75 | 🔍 Processing: College_I_card.jpg (category: id_cards_documents)
2025-11-05 14:42:37,618 |     INFO | text_extraction.py:58 | EasyOCR extraction successful
2025-11-05 14:42:38,304 |     INFO | text_extraction.py:70 | Tesseract extraction successful
2025-11-05 14:42:38,355 |     INFO | main.py:83 | 📄 Extracted Fields for College_I_card.jpg: {'Name': 'ho'}
2025-11-05 14:42:38,435 |     INFO | main.py:87 | ✅ Validated Fields: {'Name': 'ho'}
2025-11-05 14:42:38,436 |     INFO | main.py:88 | 📊 Confidence Scores: {'Name': 1.0}
2025-11-05 14:42:38,436 |     INFO | main.py:99 | 📑 Document Type: Document
2025-11-05 14:42:38,437 |     INFO | main.py:111 | ✅ Extraction successful for College_I_card.jpg (category: id_cards_documents)
2025-11-05 14:42:38,437 |     INFO | main.py:75 | 🔍 Processing: id_card_02.jpeg (category: id_cards_documents)
2025-11-05 14:42:38,926 |     INFO | text_extraction.py:58 | EasyOCR extraction successful
2025-11-05 14:42:39,270 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:42:39,283 |     INFO | main.py:83 | 📄 Extracted Fields for id_card_02.jpeg: {}
2025-11-05 14:42:39,284 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:42:39,284 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:42:39,284 |     INFO | main.py:99 | 📑 Document Type: ID Card
2025-11-05 14:42:39,285 |     INFO | main.py:111 | ✅ Extraction successful for id_card_02.jpeg (category: id_cards_documents)
2025-11-05 14:42:39,285 |     INFO | main.py:75 | 🔍 Processing: id_card_03.jpeg (category: id_cards_documents)
2025-11-05 14:42:39,670 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:42:40,043 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:42:40,044 |     INFO | main.py:83 | 📄 Extracted Fields for id_card_03.jpeg: {}
2025-11-05 14:42:40,045 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:42:40,045 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:42:40,045 |     INFO | main.py:99 | 📑 Document Type: ID Card
2025-11-05 14:42:40,046 |     INFO | main.py:111 | ✅ Extraction successful for id_card_03.jpeg (category: id_cards_documents)
2025-11-05 14:42:40,046 |     INFO | main.py:75 | 🔍 Processing: id_card_05.jpeg (category: id_cards_documents)
2025-11-05 14:42:40,483 |     INFO | text_extraction.py:58 | EasyOCR extraction successful
2025-11-05 14:42:40,803 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:42:40,816 |     INFO | main.py:83 | 📄 Extracted Fields for id_card_05.jpeg: {}
2025-11-05 14:42:40,817 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:42:40,817 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:42:40,817 |     INFO | main.py:99 | 📑 Document Type: ID Card
2025-11-05 14:42:40,818 |     INFO | main.py:111 | ✅ Extraction successful for id_card_05.jpeg (category: id_cards_documents)
2025-11-05 14:42:40,819 |     INFO | main.py:75 | 🔍 Processing: id_card_07.jpg (category: id_cards_documents)
2025-11-05 14:42:45,592 |     INFO | text_extraction.py:58 | EasyOCR extraction successful
2025-11-05 14:42:46,102 |     INFO | text_extraction.py:70 | Tesseract extraction successful
2025-11-05 14:42:46,133 |     INFO | main.py:83 | 📄 Extracted Fields for id_card_07.jpg: {}
2025-11-05 14:42:46,134 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:42:46,135 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:42:46,135 |     INFO | main.py:99 | 📑 Document Type: ID Card
2025-11-05 14:42:46,135 |     INFO | main.py:111 | ✅ Extraction successful for id_card_07.jpg (category: id_cards_documents)
2025-11-05 14:42:46,136 |     INFO | main.py:75 | 🔍 Processing: pan_card.jpg (category: id_cards_documents)
2025-11-05 14:42:55,822 |     INFO | text_extraction.py:58 | EasyOCR extraction successful
2025-11-05 14:42:56,609 |     INFO | text_extraction.py:70 | Tesseract extraction successful
2025-11-05 14:42:56,662 |     INFO | main.py:83 | 📄 Extracted Fields for pan_card.jpg: {'Name': 'xeb tknss'}
2025-11-05 14:42:56,960 |     INFO | main.py:87 | ✅ Validated Fields: {'Name': 'web tends'}
2025-11-05 14:42:56,961 |     INFO | main.py:88 | 📊 Confidence Scores: {'Name': 0.667}
2025-11-05 14:42:56,962 |     INFO | main.py:99 | 📑 Document Type: Document
2025-11-05 14:42:56,962 |     INFO | main.py:111 | ✅ Extraction successful for pan_card.jpg (category: id_cards_documents)
2025-11-05 14:42:56,963 |     INFO | main.py:75 | 🔍 Processing: placeholder_1.jpg (category: id_cards_documents)
2025-11-05 14:42:59,374 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:42:59,720 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:42:59,721 |     INFO | main.py:83 | 📄 Extracted Fields for placeholder_1.jpg: {}
2025-11-05 14:42:59,722 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:42:59,722 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:42:59,723 |     INFO | main.py:99 | 📑 Document Type: Document
2025-11-05 14:42:59,723 |     INFO | main.py:111 | ✅ Extraction successful for placeholder_1.jpg (category: id_cards_documents)
2025-11-05 14:42:59,724 |     INFO | main.py:75 | 🔍 Processing: placeholder_2.jpg (category: id_cards_documents)
2025-11-05 14:43:02,055 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:43:02,376 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:43:02,377 |     INFO | main.py:83 | 📄 Extracted Fields for placeholder_2.jpg: {}
2025-11-05 14:43:02,378 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:43:02,378 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:43:02,378 |     INFO | main.py:99 | 📑 Document Type: Document
2025-11-05 14:43:02,379 |     INFO | main.py:111 | ✅ Extraction successful for placeholder_2.jpg (category: id_cards_documents)
2025-11-05 14:43:02,379 |     INFO | main.py:75 | 🔍 Processing: placeholder_3.jpg (category: printed_text)
2025-11-05 14:43:04,760 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:43:05,095 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:43:05,097 |     INFO | main.py:83 | 📄 Extracted Fields for placeholder_3.jpg: {}
2025-11-05 14:43:05,097 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:43:05,098 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:43:05,098 |     INFO | main.py:99 | 📑 Document Type: Document
2025-11-05 14:43:05,099 |     INFO | main.py:111 | ✅ Extraction successful for placeholder_3.jpg (category: printed_text)
2025-11-05 14:43:05,099 |     INFO | main.py:75 | 🔍 Processing: printed_text_01.jpeg (category: printed_text)
2025-11-05 14:43:05,476 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:43:05,796 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:43:05,797 |     INFO | main.py:83 | 📄 Extracted Fields for printed_text_01.jpeg: {}
2025-11-05 14:43:05,797 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:43:05,798 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:43:05,798 |     INFO | main.py:99 | 📑 Document Type: Document
2025-11-05 14:43:05,799 |     INFO | main.py:111 | ✅ Extraction successful for printed_text_01.jpeg (category: printed_text)
2025-11-05 14:43:05,799 |     INFO | main.py:75 | 🔍 Processing: printed_text_02.jpg (category: printed_text)
2025-11-05 14:43:06,717 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:43:07,080 |     INFO | text_extraction.py:70 | Tesseract extraction successful
2025-11-05 14:43:07,094 |     INFO | main.py:83 | 📄 Extracted Fields for printed_text_02.jpg: {}
2025-11-05 14:43:07,095 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:43:07,095 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:43:07,095 |     INFO | main.py:99 | 📑 Document Type: Document
2025-11-05 14:43:07,096 |     INFO | main.py:111 | ✅ Extraction successful for printed_text_02.jpg (category: printed_text)
2025-11-05 14:43:07,096 |     INFO | main.py:75 | 🔍 Processing: id_card_01.jpeg (category: receipts_invoices)
2025-11-05 14:43:07,533 |     INFO | text_extraction.py:58 | EasyOCR extraction successful
2025-11-05 14:43:07,873 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:43:07,886 |     INFO | main.py:83 | 📄 Extracted Fields for id_card_01.jpeg: {}
2025-11-05 14:43:07,887 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:43:07,887 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:43:07,888 |     INFO | main.py:99 | 📑 Document Type: ID Card
2025-11-05 14:43:07,889 |     INFO | main.py:111 | ✅ Extraction successful for id_card_01.jpeg (category: receipts_invoices)
2025-11-05 14:43:07,890 |     INFO | main.py:75 | 🔍 Processing: id_card_02.jpeg (category: receipts_invoices)
2025-11-05 14:43:08,096 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:43:08,389 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:43:08,390 |     INFO | main.py:83 | 📄 Extracted Fields for id_card_02.jpeg: {}
2025-11-05 14:43:08,391 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:43:08,391 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:43:08,392 |     INFO | main.py:99 | 📑 Document Type: ID Card
2025-11-05 14:43:08,392 |     INFO | main.py:111 | ✅ Extraction successful for id_card_02.jpeg (category: receipts_invoices)
2025-11-05 14:43:08,393 |     INFO | main.py:75 | 🔍 Processing: id_card_03.jpeg (category: receipts_invoices)
2025-11-05 14:43:08,930 |     INFO | text_extraction.py:58 | EasyOCR extraction successful
2025-11-05 14:43:09,294 |     INFO | text_extraction.py:70 | Tesseract extraction successful
2025-11-05 14:43:09,308 |     INFO | main.py:83 | 📄 Extracted Fields for id_card_03.jpeg: {}
2025-11-05 14:43:09,308 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:43:09,309 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:43:09,309 |     INFO | main.py:99 | 📑 Document Type: ID Card
2025-11-05 14:43:09,309 |     INFO | main.py:111 | ✅ Extraction successful for id_card_03.jpeg (category: receipts_invoices)
2025-11-05 14:43:09,310 |     INFO | main.py:75 | 🔍 Processing: receipts_011.png (category: receipts_invoices)
2025-11-05 14:43:09,806 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:43:10,113 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:43:10,114 |     INFO | main.py:83 | 📄 Extracted Fields for receipts_011.png: {}
2025-11-05 14:43:10,114 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:43:10,114 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:43:10,115 |     INFO | main.py:99 | 📑 Document Type: Receipt
2025-11-05 14:43:10,115 |     INFO | main.py:111 | ✅ Extraction successful for receipts_011.png (category: receipts_invoices)
2025-11-05 14:43:10,116 |     INFO | main.py:75 | 🔍 Processing: receipts_03.png (category: receipts_invoices)
2025-11-05 14:43:10,674 |     INFO | text_extraction.py:58 | EasyOCR extraction successful
2025-11-05 14:43:10,985 |     INFO | text_extraction.py:70 | Tesseract extraction successful
2025-11-05 14:43:11,001 |     INFO | main.py:83 | 📄 Extracted Fields for receipts_03.png: {'Name': 'ihi k i4fr il ll yl'}
2025-11-05 14:43:11,108 |     INFO | main.py:87 | ✅ Validated Fields: {'Name': 'iii k if il ll ll'}
2025-11-05 14:43:11,108 |     INFO | main.py:88 | 📊 Confidence Scores: {'Name': 0.833}
2025-11-05 14:43:11,109 |     INFO | main.py:99 | 📑 Document Type: Receipt
2025-11-05 14:43:11,109 |     INFO | main.py:111 | ✅ Extraction successful for receipts_03.png (category: receipts_invoices)
2025-11-05 14:43:11,110 |     INFO | main.py:75 | 🔍 Processing: receipts_05.png (category: receipts_invoices)
2025-11-05 14:43:11,493 |     INFO | text_extraction.py:58 | EasyOCR extraction successful
2025-11-05 14:43:11,811 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:43:11,821 |     INFO | main.py:83 | 📄 Extracted Fields for receipts_05.png: {}
2025-11-05 14:43:11,821 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:43:11,822 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:43:11,822 |     INFO | main.py:99 | 📑 Document Type: Receipt
2025-11-05 14:43:11,822 |     INFO | main.py:111 | ✅ Extraction successful for receipts_05.png (category: receipts_invoices)
2025-11-05 14:43:11,823 |     INFO | main.py:75 | 🔍 Processing: receipts_07.png (category: receipts_invoices)
2025-11-05 14:43:12,212 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:43:12,490 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:43:12,491 |     INFO | main.py:83 | 📄 Extracted Fields for receipts_07.png: {}
2025-11-05 14:43:12,491 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:43:12,492 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:43:12,492 |     INFO | main.py:99 | 📑 Document Type: Receipt
2025-11-05 14:43:12,492 |     INFO | main.py:111 | ✅ Extraction successful for receipts_07.png (category: receipts_invoices)
