Date,Forecast_Sales
2019-03-30,4307.957200028517
2019-03-31,3516.144521831876
2019-04-01,3539.1107436168986
2019-04-02,3686.6520065854784
2019-04-03,3781.666682423545
2019-04-04,3619.423487988566
2019-04-05,3650.5687385326705
2019-04-06,3667.2703006673323
2019-04-07,3689.558896670957
2019-04-08,3650.363544754494
2019-04-09,3666.695174808159
2019-04-10,3662.973469046293
2019-04-11,3671.6350646154406
2019-04-12,3659.8381167813354
2019-04-13,3667.2425922703183
2019-04-14,3663.2243541797625
2019-04-15,3667.32776514076
2019-04-16,3662.9680260029622
2019-04-17,3666.26436028474
2019-04-18,3663.9687002501964
2019-04-19,3665.9576842970614
2019-04-20,3664.1216924727464
2019-04-21,3665.6071107939642
2019-04-22,3664.4632645358374
2019-04-23,3665.41492559902
2019-04-24,3664.591938911922
2019-04-25,3665.270823385272
2019-04-26,3664.7255606357007
2019-04-27,3665.1752938251284
2019-04-28,3664.796993187288
